start,start_address,ward
Piedmont Circle,"1130 E. 29th Street, 27105",Northeast
Parkway Place Apartments,108 Penner St. 27105,Northeast
Alaris Homes Covington,3794 Foxton Dr. 27105,Northeast
Country Village Apartments,203 Park Ridge Ln. 27104,West
Plaza West Apartments,4825 Commercial Plaza St. 27104,West
Stone Point Apartments,324 S. Peace Haven Rd. 27104,West
Salem Gardens Apartments,7 Salem Gardens Dr. 27107,Southeast
Plantation Place Apartments,3626 Cedar Springs Rd. 27107,Southeast
Plaza South Apartments,3501 Plaza Hollow Dr. 27107,Southeast
Kensington Village Apartments,479 Louise Wilson Ln. 27101,East
Water Oak Apartments,1984 Maryland Ave. 27101,East
Colony Place Apartments,900 N. Cleveland Ave. 27101,East
Fox Creek Apartments,1100 Barbara Ann Cir. 27103,Southwest
Regency Apartments,3401 Old Vineyard Rd. 27103,Southwest
British Woods Condominiums,2210 Sunderland Rd. 27103,South
Bethabara Pointe Apartments,1800 Bethabara Pointe Cir. 27106,North
Old Town Apartments,3844 Wabash Blvd. 27106,North
Colony Apartments,4200 Brownsboro Rd. 27106,North
Stafford Place Apartment,1140 Stafford Pl Cir. 27127,South
Willows Peake Apartments,1350 Eller Way 27127,East
Orchard Creek,2810 Orchard Creek Ln. 27127,South
